date,value,campus
2024-11-04,96.19,cibolo_valley
2024-11-04,96.18,green_valley
2024-11-04,96.61,paschal
2024-11-04,92.5,rose_garden
2024-11-04,95.42,schertz
2024-11-04,95.9,sippel
2024-11-04,95.37,watts
2024-11-04,94.92,wiederstein
2024-11-04,94.42,jordan
2024-11-04,96.29,schlather
2024-11-04,94.45,wilder
2024-11-04,95.4,dobie
2024-11-04,93.52,corbett
2024-11-04,93.01,clemens
2024-11-04,95.21,b_steele
2024-11-04,73.09,als_elc
2024-11-04,93.66,district_avg
2024-11-12,95.42,cibolo_valley
2024-11-12,94.94,green_valley
2024-11-12,95.27,paschal
2024-11-12,93.22,rose_garden
2024-11-12,96,schertz
2024-11-12,96.04,sippel
2024-11-12,94.96,watts
2024-11-12,93.74,wiederstein
2024-11-12,94.96,jordan
2024-11-12,95.04,schlather
2024-11-12,94,wilder
2024-11-12,95.25,dobie
2024-11-12,93.75,corbett
2024-11-12,92.81,clemens
2024-11-12,93.67,b_steele
2024-11-12,73.57,als_elc
2024-11-12,93.29,district_avg
2024-11-18,95.43,cibolo_valley
2024-11-18,95.12,green_valley
2024-11-18,94.8,paschal
2024-11-18,92.59,rose_garden
2024-11-18,95.31,schertz
2024-11-18,95.15,sippel
2024-11-18,94.16,watts
2024-11-18,93.35,wiederstein
2024-11-18,94.26,jordan
2024-11-18,94.16,schlather
2024-11-18,92.88,wilder
2024-11-18,95.11,dobie
2024-11-18,93.17,corbett
2024-11-18,92.2,clemens
2024-11-18,93.18,b_steele
2024-11-18,74.87,als_elc
2024-11-18,92.86,district_avg
2024-12-02,95.04,cibolo_valley
2024-12-02,96.9,green_valley
2024-12-02,96.02,paschal
2024-12-02,94.13,rose_garden
2024-12-02,94.72,schertz
2024-12-02,95.51,sippel
2024-12-02,95.39,watts
2024-12-02,94.32,wiederstein
2024-12-02,95.19,jordan
2024-12-02,95.66,schlather
2024-12-02,92.25,wilder
2024-12-02,95.58,dobie
2024-12-02,94.12,corbett
2024-12-02,91.53,clemens
2024-12-02,93.9,b_steele
2024-12-02,90,als_elc
2024-12-02,94.39,district_avg
2024-12-09,95.13,cibolo_valley
2024-12-09,95.63,green_valley
